# text_id = 1
# text = Oyun ve eğlence.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
15	Martov	-	-	-	-	-	-	-	translit=Мартов
16	yanlıları	-	-	-	-	-	-	-	translit=йанлылары
17	da	-	-	-	-	-	-	-	translit=да
18	"Menşevik"	-	-	-	-	-	-	-	translit="Мэншэвик"
19	olarak	-	-	-	-	-	-	-	translit=оларак
20	adlandırılacaktır	-	-	-	-	-	-	-	translit=адландырыладжактыр
21	.	-	-	-	-	-	-	-	translit=.


# text_id = 29
# text = Kongreden sonra iki taraf arasında birleşme girişimleri olsa da birleşme gerçekleşmeyecek ve 1912 yılında kesin ayrım yaşanacaktır.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Kongreden	-	-	-	-	-	-	-	translit=Конгрэдэн
2	sonra	-	-	-	-	-	-	-	translit=сонра
3	iki	-	-	-	-	-	-	-	translit=ики
4	taraf	-	-	-	-	-	-	-	translit=тараф
5	arasında	-	-	-	-	-	-	-	translit=арасында
6	birleşme	-	-	-	-	-	-	-	translit=бирлэшмэ
7	girişimleri	-	-	-	-	-	-	-	translit=гиришимлэри
8	olsa	-	-	-	-	-	-	-	translit=олса
9	da	-	-	-	-	-	-	-	translit=да
10	birleşme	-	-	-	-	-	-	-	translit=бирлэшмэ
11	gerçekleşmeyecek	-	-	-	-	-	-	-	translit=гэрчэклэшмэйэджэк
12	ve	-	-	-	-	-	-	-	translit=вэ
13	1912	-	-	-	-	-	-	-	translit=1912
14	yılında	-	-	-	-	-	-	-	translit=йылында
15	kesin	-	-	-	-	-	-	-	translit=кэсин
16	ayrım	-	-	-	-	-	-	-	translit=айрым
17	yaşanacaktır	-	-	-	-	-	-	-	translit=йашанаджактыр
18	.	-	-	-	-	-	-	-	translit=.


# text_id = 30
# text = Bolşevikler Ekim Devrimi ile iktidarı alacaklar ve Sovyetler Birliği'ni kuracaklardır.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Bolşevikler	-	-	-	-	-	-	-	translit=Болшэвиклэр
2	Ekim	-	-	-	-	-	-	-	translit=Эким
3	Devrimi	-	-	-	-	-	-	-	translit=Дэврими
4	ile	-	-	-	-	-	-	-	translit=илэ
5	iktidarı	-	-	-	-	-	-	-	translit=иктидары
